新,謎,旧,氏名
デジタル審議官,【併任解除】【免】,内閣府科学技術・イノベーション推進事務局長）併任 内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術(IT)総合戦略室長代理(副政府CIO）,赤石 浩一
統括官,【免】【併任終了】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房番号制度推進室次長 命 内閣官房情報通信技術（IT)総合戦略室長代理（副政府CIO） 併任 内閣府大臣官房番号制度担当室次長,冨安 泰一郎
統括官,採用,,楠 正憲
統括官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,村上 敬亮
統括官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,篠原 俊博
統括官付審議官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,山本 和徳
統括官付審議官,【免】,内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）,犬童 周作
統括官付審議官,【併任解除】【免】,総務省大臣官房審議官（行政管理局担当） 併任 内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術(IT)総合戦略室長代理（副政府CIO）,菅原 希
統括官付審議官,,採用,早瀬 千善
併任 統括官付,【免】【命 内閣官房社会保障改革担当室審議官】,厚生労働省大臣官房付 併任 内閣官房内閣審議官（内閣官房副長官補付）命 内閣官房情報通信技術（IT)総合戦略室長代理（副政府CIO),内山 博之
併任 統括官付,【併任解除】【免】,総務省総合通信基盤局長 併任 内閣官房内閣審議官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT)総合戦略室長代理（副政府CIO),二宮 清治
併任 統括官付,【併任解除 内閣府事務官（政策統括官（経済財政運営担当）付）】【併任終了 内閣府本府プレミアム付商品券事業担当室次長】,内閣官房内閣審議官(内閣官房副長官補付）） 命 内閣官房一億総活躍推進室次長 命 内閣官房働き方改革実現推進室次長 命 内閣官房人生100年時代構想推進室次長 命 内閣官房就職氷河期世代支援推進室次長 命 内閣官房東京オリンピック競技大会・東京パラリンピック競技大会推進本部事務局審議官 併任 内閣府政策統括官（経済財政運営担当）付 併任 内閣府本府プレミアム付商品券事業担当室 次長,中山 光輝
併任 統括官付,【免 内閣官房情報通信技術（IT)総合戦略室室員】,内閣府健康・医療戦略推進事務局長併任 科学技術・イノベーション推進事務局長補  併任 日本医療研究開発機構担当室室長 併任 内閣官房内閣審議官（内閣官房副長官補付） 命内閣官房健康・医療戦略室次長 命内閣官房情報通信技術（IT)総合戦略室室員,八神 敦雄
併任 統括官付,,国税庁長官官房審議官（国際担当） 併任  内閣官房副長官補付 命 内閣官房情報通信技術（IT）総合戦略室室員（～R3.8.31まで）,日置 重人
併任 統括官付,【併任解除】【免】【併任解除】,経済産業省大臣官房サイバーセキュリティ・情報化審議官 併任 内閣官房内閣審議官（内閣官房副長官補付）命 内閣官房情報通信技術（ＩＴ）総合戦略室長代理（副政府CIO） 併任内閣サイバーセキュリティセンター,江口 純一
併任 統括官付,【併任解除】【免】,厚生労働省大臣官房審議官（健康、生活衛生、アルコール健康障害対策担当） 併任 内閣官房副長官補付 命内閣官房情報通信技術（ＩＴ）総合戦略室室員,宮崎 敦文
併任 統括官付,【免 内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO）】【併任終了 内閣府政策統括官（経済財政運営担当）付】【併任終了 内閣府本府プレミアム付商品券事業担当室次長】,財務省大臣官房付 併任 内閣官房内閣審議官（内閣官房副長官補付） 命内閣官房情報通信技術（IT）総合戦略室長代理（副政府CIO） 命 内閣官房行政改革推進本部事務局局員 併任内閣府大臣官房審議官（大臣官房担当） 併任 内閣府政策統括官（経済財政運営担当）付 併任 内閣府本府規制改革推進室次長 併任 内閣府本府地方創生推進室次長 併任 内閣府地方創生推進事務局審議官 併任 内閣府本府プレミアム付商品券事業担当室次長,辻 貴博
統括官付参事官,【併任解除】【免】【併任 内閣府科学技術・イノベーション推進事務局参事官】,総務省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付） 命内閣官房情報通信技術（IT）総合戦略室参事官 併任 内閣府科学技術・イノベーション推進事務局参事官,吉田 宏平
統括官付参事官 併任 統括官付公文書監理官命 公文書監理官室長,【併任解除】【免】,総務省行政管理局行政情報システム企画課長 併任 内閣官房副長官補付命 内閣官房情報通信技術（IT）総合戦略室参事官,奥田 直彦
併任 デジタル庁統括官付参事官,【併任解除】【免】,警察庁長官官房参事官（刑事手続のIT化・統計総括・サイバーセキュリティ対策調整担当）併任 内閣官房副長官補付 命 内閣官房情報通信技術（IT）総合戦略室室員,阿部 文彦
統括官付参事官,【免】【免】【併任終了】,内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房番号制度推進室参事官 命 内閣官房情報通信技術（IT）総合戦略室参事 併任 内閣府大臣官房番号制度担当室参事官,上仮 屋尚
統括官付参事官,【併任解除】【免】,総務省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付）命内閣官房情報通信技術（IT）総合戦略室参事官,徳満 純一
併任 統括官付参事官,【併任解除】【免】,総務省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,大澤 健
統括官付参事官,,経済産業省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付）命 内閣官房情報通信技術（IT）総合戦略室参事官（～R3.8.31まで）,松田 洋平
併任 統括官付参事官,,経済産業省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付）命 内閣官房情報通信技術（IT）総合戦略室参事官（～R3.8.31まで）,瀧島 勇樹
併任 統括官付参事官,,財務省主計局局付 併任 内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室参事官,門馬 圭一
統括官付参事官,【併任 内閣府科学技術・イノベーション推進事務局参事官】【併任解除】【免】【併任解除】,総務省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室参事官 併任 農林水産省大臣官房付,田邊 光男
併任 統括官付参事官,,総務省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室参事官（～R3.8.31まで）,山野 哲也
統括官付参事官,【免】【免】【併任終了】,内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房番号制度推進室参事官 命 内閣官房情報通信技術（IT）総合戦略室参事官 併任 内閣府大臣官房番号制度担当室参事官,浦上 哲朗
統括官付参事官,,金融庁総合政策局付 併任 内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室参事官（～R3.8.31まで）,柳沢 信高
併任 統括官付参事官,,総務省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付） 命内閣官房情報通信技術（IT）総合戦略室参事（～R3.8.31まで）,名越 一郎
統括官付参事官,,財務省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付 命 内閣官房情報通信技術（IT）総合戦略室参事官（～R3.8.31まで）,木村 公一
併任 統括官付参事官,【併任終了】,総務省行政管理局管理官 併任 行政管理局行政情報システム企画課） 併任 内閣官房副長官補付 命 内閣官房情報通信技術（IT）総合戦略室参事官）（～R3.8.31まで）,山本 寛繁
統括官付参事官,,国土交通省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付）命 内閣官房情報通信技術（IT）総合戦略室参事官（～R3.8.31まで）,板屋 英治
統括官付参事官,【併任終了】【併任解除】【免】【免】,内閣府大臣官房参事官（番号制度担当） 併任 大臣官房番号制度担当室参事官 併任 内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房番号制度推進室参事官 命 内閣官房情報通信技術（IT）総合戦略室参事官,高木 有生
統括官付参事官,,人事院事務総局参事官,佐藤 敬
統括官付参事官,【併任解除】【免】,経済産業省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,村上 貴将
統括官付参事官,【併任解除】【併任解除】【併任解除】【併任解除】【併任終了】【併任解除】【併任解除】【免】,国税庁長官官房付 併任 財務省主税局税制第一課 併任 内閣府大臣官房併任 大臣官房参事官（総務課担当）併任 大臣官房総務課秘書室 併任大臣官房番号制度担当室参事官 併任個人情報保護委員会事務局総務課 併任 内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房番号制度推進室参事官 命 内閣官房情報通信技術（IT）総合戦略室参事官,淺岡 孝充
併任 統括官付参事官,,内閣官房内閣参事官（内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室次長（～R3.8.31まで）,渋谷 闘志彦
併任 統括官付参事官,,経済産業省大臣官房付 併任 内閣官房内閣参事官（内閣官房副長官補付)命 内閣官房情報通信技術（IT）総合戦略室次長（～R3.8.31まで）,菊川 人吾
併任 統括官付参事官,【免 内閣官房情報通信技術（IT)総合戦略室室員】,経済産業省商務情報政策局サービス政策課長 併任 内閣官房副長官補付命 内閣官房観光戦略実行推進室参事官 命 内閣官房情報通信技術（IT)総合戦略室室員,浅野 大介
併任 統括官付参事官,,金融庁総合政策局付 併任 内閣官房内閣参事官（内閣官房副長官補付）命 内閣官房情報通信技術（IT）総合戦略室参事官（～R3.8.31まで） 命 内閣官房番号制度推進室参事官（～R3.8.31まで）,野崎 彰
統括官付参事官付企画官,【併任解除】,総務省大臣官房付 併任 行政管理局併任 内閣官房副長官補付企画官 命内閣官房情報通信技術（IT)総合戦略室企画官（～R3.8.31まで）,帆足 雅史
採用 統括官付参事官付企画官,,8/31付辞職 防衛省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（ＩＴ）総合戦略室企画官（～R3.8.31まで）,吉田 楼蘭
統括官付参事官付企画官,,警察庁長官官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,石井 啓介
併任 統括官付参事官付企画官,【併任解除】【併任解除】,総務省行政評価局調査官 併任 行政評価局総務課 併任 行政評価局企画課）,佐伯 美穂
統括官付参事官付企画官 命 公文書監理官室室員,【併任解除】【免】,総務省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,柳生 正毅
併任 統括官付参事官付企画官 命 公文書監理官室室員,,総務省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT)総合戦略室企画官（～R3.8.31まで）,西室 洋介
併任 統括官付参事官付企画官,【併任解除】【免】,東京地方検察庁検事 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（ＩＴ）総合戦略室企画官,占部 祥
統括官付参事官付企画官,【併任解除】【免】,経済産業省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,津脇 慈子
併任 統括官付参事官付企画官,,経済産業省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（ＩＴ）総合戦略室企画官（～R3.8.31まで）,吉田 泰己
採用 統括官付参事官付企画官,,8/31付辞職 防衛省大臣官房付 併任 整備計画局情報通信課付 兼官 内閣官房副長官補付企画官）命 内閣官房情報通信技術（IT）総合戦略室企画官,齋藤 憲士
併任 統括官付参事官付企画官,【併任解除】,総務省大臣官房付 併任 行政管理局（～R3.9.30） 併任 内閣官房副長官補付） 命 内閣官房情報通信技術（IT）総合戦略室企画官,須﨑 和馬
統括官付参事官付企画官,【免】,内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,圓増 正宏
併任 統括官付参事官付企画官,【併任解除】【命】,総務省行政管理局企画官 併任 内閣官房副長官補付 命 内閣官房情報通信技術（IT）総合戦略室企画官,林 隆幸
併任 統括官付参事官付企画官,【併任解除】【免】,国税庁長官官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,山本 武史
併任 統括官付参事官付企画官,【併任解除】【免】,国土交通省港湾局付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,濵口 信彦
統括官付参事官付企画官,【併任解除】【免】,国税庁長官官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官,城戸 格
統括官付参事官付企画官,,文部科学省大臣官房付 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官（～R3.8.31まで）,中川 尚志
併任 統括官付参事官付企画官,,総務省行政評価局企画官,小川 力也
統括官付参事官付企画官,,国土交通省港湾局付,鈴木 崇弘
併任 統括官付参事官付企画官,,東京地方検察庁検 併任 内閣官房副長官補付企画官 命 内閣官房情報通信技術（IT）総合戦略室企画官（～R3.8.31まで）,岡部 弘
統括官付参事官付企画官,,人事院事務総局参事官付上席情報システム専門官,能城 均
統括官付参事官付企画官,,人事院事務総局参事官付上席システム運用専門官,三好 哲也
統括官付参事官付企画官,,人事院事務総局参事官付上席システム管理専門官,安田 英司