氏名,氏名かな,種別,肩書
石倉 洋子,いしくら ようこ,デジタル監・デジタル審議官,デジタル監
赤石 浩一,あかいし こういち,デジタル監・デジタル審議官,デジタル審議官
江崎 浩,えさき ひろし,CxO,Chief Architect
浅沼 尚,あさぬま たかし,CxO,Chief Design Officer
坂 明,さか あきら,CxO,Chief Information Security Officer
水島 壮太,みずしま そうた,CxO,Chief Product Officer
藤本 真樹,ふじもと まさき,CxO,Chief Technology Officer
楠 正憲,くすのき まさのり,デジタル社会共通機能グループ,デジタル社会共通機能グループ グループ長
犬童 周作,いんどう しゅうさく,デジタル社会共通機能グループ,デジタル社会共通機能グループ 次長
村上 敬亮,むらかみ けいすけ,国民向けサービスグループ,国民向けサービスグループ グループ長
内山 博之,うちやま ひろゆき,国民向けサービスグループ,国民向けサービスグループ 次長
篠原 俊博,しのはら としひろ,省庁業務サービスグループ,省庁業務サービスグループ グループ長
菅原 希,すがわら のぞむ,省庁業務サービスグループ,省庁業務サービスグループ 次長
早瀬 千善,はやせ かずよし,省庁業務サービスグループ,省庁業務サービスグループ 次長
冨安 泰一郎,とみやす たいいちろう,戦略・組織グループ,戦略・組織グループ グループ長
山本 和徳,やまもと かずのり,戦略・組織グループ,戦略・組織グループ 次長